Name,Value,RGB
light pink,#FFB6C1,"-255,182,193"
light salmon,#FFA07A,"-255,160,122"
light sea green,#20B2AA,"-32,178,170"
light sky blue,#87CEFA,"-135,206,250"
light slate gray,#778899,"-119,136,153"
light steel blue,#B0C4DE,"-176,196,222"
light yellow,#FFFFE0,"-255,255,224"
Lime,#00FF00,"(0,255,0)"
lime green,#32CD32,"(50,205,50)"
linen,#FAF0E6,"-250,240,230"
Magenta / Fuchsia,#FF00FF,"(255,0,255)"
Maroon,#800000,"(128,0,0)"
medium aqua marine,#66CDAA,"-102,205,170"
medium blue,#0000CD,"(0,0,205)"
medium orchid,#BA55D3,"(186,85,211)"
medium purple,#9370DB,"-147,112,219"
medium sea green,#3CB371,"-60,179,113"
medium slate blue,#7B68EE,"-123,104,238"
medium spring green,#00FA9A,"(0,250,154)"
medium turquoise,#48D1CC,"-72,209,204"
medium violet red,#C71585,"(199,21,133)"
midnight blue,#191970,"(25,25,112)"
mint cream,#F5FFFA,"-245,255,250"
misty rose,#FFE4E1,"-255,228,225"
moccasin,#FFE4B5,"-255,228,181"
navajo white,#FFDEAD,"-255,222,173"
Navy,#000080,"(0,0,128)"
old lace,#FDF5E6,"-253,245,230"
Olive,#808000,"(128,128,0)"
olive drab,#6B8E23,"(107,142,35)"
orange,#FFA500,"(255,165,0)"
orange red,#FF4500,"(255,69,0)"
orchid,#DA70D6,"-218,112,214"
pale golden rod,#EEE8AA,"-238,232,170"
pale green,#98FB98,"-152,251,152"
pale turquoise,#AFEEEE,"-175,238,238"
pale violet red,#DB7093,"-219,112,147"
papaya whip,#FFEFD5,"-255,239,213"
peach puff,#FFDAB9,"-255,218,185"
peru,#CD853F,"(205,133,63)"
pink,#FFC0CB,"-255,192,203"
plum,#DDA0DD,"-221,160,221"
powder blue,#B0E0E6,"-176,224,230"
Purple,#800080,"(128,0,128)"
Red,#FF0000,"(255,0,0)"
rosy brown,#BC8F8F,"-188,143,143"
royal blue,#4169E1,"-65,105,225"
saddle brown,#8B4513,"(139,69,19)"
salmon,#FA8072,"-250,128,114"
sandy brown,#F4A460,"(244,164,96)"
sea green,#2E8B57,"(46,139,87)"
sea shell,#FFF5EE,"-255,245,238"
sienna,#A0522D,"(160,82,45)"
Silver,#C0C0C0,"-192,192,192"
sky blue,#87CEEB,"-135,206,235"
slate blue,#6A5ACD,"(106,90,205)"
slate gray,#708090,"-112,128,144"
snow,#FFFAFA,"-255,250,250"
spring green,#00FF7F,"(0,255,127)"
steel blue,#4682B4,"-70,130,180"
tan,#D2B48C,"-210,180,140"
Teal,#008080,"(0,128,128)"
thistle,#D8BFD8,"-216,191,216"
tomato,#FF6347,"(255,99,71)"
turquoise,#40E0D0,"-64,224,208"
violet,#EE82EE,"-238,130,238"
wheat,#F5DEB3,"-245,222,179"
White,#FFFFFF,"-255,255,255"
white smoke,#F5F5F5,"-245,245,245"
Yellow,#FFFF00,"(255,255,0)"
yellow green,#9ACD32,"(154,205,50)"
